rho	e	Marginal pval	Multivariate pval	type
0	0	0.579393	0.5616248	Nonadmixed Indep
0	0	0.173814	0.0673874	Nonadmixed Indep
0	0	0.0817909	0.4821586	Nonadmixed Indep
0	0	0.300153	0.150992	Nonadmixed Indep
0	0	0.887066	0.9386646	Nonadmixed Indep
0	0	0.789776	0.5998602	Nonadmixed Indep
0	0	0.0235137	0.2352609	Nonadmixed Indep
0	0	0.646239	0.2374243	Nonadmixed Indep
0	0	0.0676918	0.6002726	Nonadmixed Indep
0	0	0.884567	0.6534192	Nonadmixed Indep
0	0	0.206026	0.7427	Nonadmixed Indep
0	0	0.597243	0.7768134	Nonadmixed Indep
0	0	0.829323	0.8783201	Nonadmixed Indep
0	0	0.0221121	0.02836996	Nonadmixed Indep
0	0	0.59281	0.82582	Nonadmixed Indep
0	0	0.403882	0.2505097	Nonadmixed Indep
0	0	0.0797939	0.2236273	Nonadmixed Indep
0	0	0.764491	0.5003753	Nonadmixed Indep
0	0	0.81373	0.4722471	Nonadmixed Indep
0	0	0.174959	0.1852345	Nonadmixed Indep
0	0	0.583777	0.758436	Nonadmixed Indep
0	0	0.17456	0.1245196	Nonadmixed Indep
0	0	0.169739	0.2565761	Nonadmixed Indep
0	0	0.226554	0.09419858	Nonadmixed Indep
0	0	0.800082	0.3560135	Nonadmixed Indep
0	0	0.203827	0.08144794	Nonadmixed Indep
0	0	0.0645277	0.5232407	Nonadmixed Indep
0	0	0.470545	0.6743273	Nonadmixed Indep
0	0	0.196477	0.3756632	Nonadmixed Indep
0	0	0.964939	0.6761544	Nonadmixed Indep
0	0	0.896302	0.7044591	Nonadmixed Indep
0	0	0.513611	0.5746139	Nonadmixed Indep
0	0	0.384193	0.52846	Nonadmixed Indep
0	0	0.665678	0.568737	Nonadmixed Indep
0	0	0.229868	0.5544392	Nonadmixed Indep
0	0	0.680576	0.7831144	Nonadmixed Indep
0	0	0.92623	0.9166776	Nonadmixed Indep
0	0	0.847544	0.6136516	Nonadmixed Indep
0	0	0.143372	0.620876	Nonadmixed Indep
0	0	0.40694	0.06580642	Nonadmixed Indep
0	0	0.0971689	0.3719989	Nonadmixed Indep
0	0	0.929118	0.8617014	Nonadmixed Indep
0	0	0.517999	0.07721152	Nonadmixed Indep
0	0	0.528896	0.8004899	Nonadmixed Indep
0	0	0.139643	0.693383	Nonadmixed Indep
0	0	0.814121	0.3562141	Nonadmixed Indep
0	0	0.482944	0.2537488	Nonadmixed Indep
0	0	0.724799	0.2613	Nonadmixed Indep
0	0	0.288443	0.4969471	Nonadmixed Indep
0	0	0.910759	0.7522415	Nonadmixed Indep
0	0	0.543987	0.4164033	Nonadmixed Indep
0	0	0.275309	0.1518862	Nonadmixed Indep
0	0	0.00647647	0.002118841	Nonadmixed Indep
0	0	0.626661	0.7481219	Nonadmixed Indep
0	0	0.608134	0.9330889	Nonadmixed Indep
0	0	0.18951	0.7018737	Nonadmixed Indep
0	0	0.901207	0.05562572	Nonadmixed Indep
0	0	0.563845	0.8908803	Nonadmixed Indep
0	0	0.603687	0.3359833	Nonadmixed Indep
0	0	0.529796	0.6678234	Nonadmixed Indep
0	0	0.111311	0.1429219	Nonadmixed Indep
0	0	0.684155	0.9130093	Nonadmixed Indep
0	0	0.171022	0.790407	Nonadmixed Indep
0	0	0.501473	0.1224653	Nonadmixed Indep
0	0	0.944525	0.5316726	Nonadmixed Indep
0	0	0.687256	0.7895685	Nonadmixed Indep
0	0	0.0540173	0.004002971	Nonadmixed Indep
0	0	0.0703261	0.3817232	Nonadmixed Indep
0	0	0.988218	0.4139063	Nonadmixed Indep
0	0	0.381001	0.9546406	Nonadmixed Indep
0	0	0.245895	0.143146	Nonadmixed Indep
0	0	0.250244	0.4728458	Nonadmixed Indep
0	0	0.22813	0.8675056	Nonadmixed Indep
0	0	0.188489	0.1722126	Nonadmixed Indep
0	0	0.0421563	0.3147369	Nonadmixed Indep
0	0	0.734436	0.4334258	Nonadmixed Indep
0	0	0.782117	0.3037201	Nonadmixed Indep
0	0	0.975782	0.0968511	Nonadmixed Indep
0	0	0.170176	0.660572	Nonadmixed Indep
0	0	0.234832	0.8001894	Nonadmixed Indep
0	0	0.637328	0.3739301	Nonadmixed Indep
0	0	0.130463	0.036327	Nonadmixed Indep
0	0	0.708905	0.8077951	Nonadmixed Indep
0	0	0.867782	0.9180004	Nonadmixed Indep
0	0	0.694562	0.7791545	Nonadmixed Indep
0	0	0.332864	0.3791638	Nonadmixed Indep
0	0	0.180568	0.4914835	Nonadmixed Indep
0	0	0.891481	0.6905552	Nonadmixed Indep
0	0	0.456328	0.5352076	Nonadmixed Indep
0	0	0.583906	0.7256788	Nonadmixed Indep
0	0	0.567218	0.5158612	Nonadmixed Indep
0	0	0.51535	0.25491	Nonadmixed Indep
0	0	0.756621	0.9934158	Nonadmixed Indep
0	0	0.0735441	0.05710694	Nonadmixed Indep
0	0	0.151236	0.2332677	Nonadmixed Indep
0	0	0.682597	0.7361207	Nonadmixed Indep
0	0	0.970205	0.5956125	Nonadmixed Indep
0	0	0.859504	0.9924143	Nonadmixed Indep
0	0	0.95517	0.4587882	Nonadmixed Indep
0	0	0.273518	0.2180043	Nonadmixed Indep
0	0	0.917404	0.3684082	Nonadmixed Indep
0	0	0.0761344	0.127853	Nonadmixed Indep
0	0	0.999974	0.1711766	Nonadmixed Indep
0	0	0.11074	0.3099226	Nonadmixed Indep
0	0	0.323229	0.5427856	Nonadmixed Indep
0	0	0.720043	0.8604024	Nonadmixed Indep
0	0	0.701662	0.7793873	Nonadmixed Indep
0	0	0.941873	0.5184784	Nonadmixed Indep
0	0	0.170356	0.6251457	Nonadmixed Indep
0	0	0.29958	0.5303264	Nonadmixed Indep
0	0	0.492238	0.6775564	Nonadmixed Indep
0	0	0.427254	0.6839844	Nonadmixed Indep
0	0	0.0476143	0.1060258	Nonadmixed Indep
0	0	0.094245	0.3797437	Nonadmixed Indep
0	0	0.426273	0.9279892	Nonadmixed Indep
0	0	0.660366	0.06295227	Nonadmixed Indep
